City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Mana,GF,5.66,-53.78,78.31,84,100,9.1,light rain
84,Rafiganj,IN,24.82,84.65,64.4,88,40,5.12,mist
85,Bishop Auckland,GB,54.66,-1.68,45.0,88,94,3.0,moderate rain
86,Pierre,US,44.37,-100.35,71.6,24,1,6.93,clear sky
87,Arraial Do Cabo,BR,-22.97,-42.03,71.6,60,75,5.82,broken clouds
88,Tuktoyaktuk,CA,69.45,-133.04,6.8,84,75,10.29,light snow
89,Okha,RU,53.57,142.95,31.87,95,0,11.81,clear sky
90,Kapaa,US,22.08,-159.32,81.0,74,20,11.41,few clouds
91,Esperance,AU,-33.87,121.9,59.0,100,90,10.29,overcast clouds
92,Dunedin,NZ,-45.87,170.5,55.0,66,98,31.0,overcast clouds
93,Ust-Kuyga,RU,70.02,135.6,-11.47,85,97,8.48,overcast clouds
94,Luebo,CD,-5.35,21.42,70.18,96,91,0.76,overcast clouds
95,Sociedad,SV,13.7,-88.02,87.8,62,75,2.24,broken clouds
96,Pangnirtung,CA,66.15,-65.71,17.6,52,40,2.24,scattered clouds
97,Enid,US,36.4,-97.88,71.6,35,1,16.11,clear sky
98,Luxor,EG,25.7,32.64,73.4,53,0,3.36,clear sky
99,Hirara,JP,24.8,125.28,73.4,83,75,16.11,shower rain
100,Hermanus,ZA,-34.42,19.23,64.0,86,3,8.99,clear sky
101,Sona,IT,45.44,10.83,55.0,100,75,1.12,mist
102,Kaitangata,NZ,-46.28,169.85,57.0,65,47,4.0,scattered clouds
103,Port Alfred,ZA,-33.59,26.89,66.7,83,36,21.56,scattered clouds
104,Lac Du Bonnet,CA,50.25,-96.06,48.2,57,0,10.29,clear sky
105,Guerrero Negro,MX,27.98,-114.06,77.77,49,17,15.3,light rain
106,East London,ZA,-33.02,27.91,67.35,84,74,15.05,light rain
107,Damghan,IR,36.17,54.35,56.26,36,91,1.45,overcast clouds
108,Westport,US,41.14,-73.36,41.0,41,1,12.75,clear sky
109,Iqaluit,CA,63.75,-68.51,17.6,67,75,11.41,light snow
