City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Vaini,TO,2020-11-02 18:50:32,-21.2,-175.2,75.2,88,40,8.05
71,Aketi,CD,2020-11-02 18:50:32,2.74,23.78,72.82,96,100,0.6
72,Aracaju,BR,2020-11-02 18:49:50,-10.91,-37.07,77.0,83,75,4.7
73,Torbay,CA,2020-11-02 18:50:32,47.67,-52.73,53.01,100,90,28.86
74,Qandala,SO,2020-11-02 18:50:32,11.47,49.87,78.6,75,19,6.62
75,Pevek,RU,2020-11-02 18:50:32,69.7,170.31,13.06,92,44,14.97
76,Esperance,AU,2020-11-02 18:50:32,-33.87,121.9,57.2,93,90,16.11
77,Bengkulu,ID,2020-11-02 18:50:33,-3.8,102.27,75.45,88,100,4.34
78,Kibaya,TZ,2020-11-02 18:50:33,-5.3,36.57,61.99,81,93,7.43
79,Clearwater,US,2020-11-02 18:50:33,27.97,-82.8,73.99,40,0,8.05
80,Najran,SA,2020-11-02 18:50:33,17.49,44.13,68.0,22,0,4.7
81,Sai Buri,TH,2020-11-02 18:50:33,6.7,101.62,78.19,82,40,3.47
82,Veraval,IN,2020-11-02 18:50:33,20.9,70.37,80.8,54,0,3.91
83,Vanavara,RU,2020-11-02 18:50:34,60.34,102.28,30.78,98,100,9.13
84,Kyshtovka,RU,2020-11-02 18:50:34,56.55,76.63,30.94,98,100,7.0
85,Tezu,IN,2020-11-02 18:50:34,27.92,96.17,68.7,84,18,3.49
86,Saint Anthony,US,2020-11-02 18:50:34,45.02,-93.22,53.01,42,1,8.05
87,Okaihau,NZ,2020-11-02 18:50:34,-35.32,173.78,64.99,90,100,7.0
88,Qaanaaq,GL,2020-11-02 18:48:54,77.48,-69.36,6.01,77,100,5.61
89,Jurm,AF,2020-11-02 18:50:34,36.86,70.83,39.78,51,0,0.04
90,Homer,US,2020-11-02 18:50:34,59.64,-151.55,25.0,25,90,4.7
91,Barrow,US,2020-11-02 18:50:34,71.29,-156.79,26.6,79,90,14.99
92,Nouakchott,MR,2020-11-02 18:50:35,18.09,-15.98,93.2,10,100,8.05
93,Dryden,CA,2020-11-02 18:47:06,49.78,-92.75,42.8,60,1,11.41
94,Manzanillo,CU,2020-11-02 18:50:35,20.34,-77.12,84.67,70,100,10.49
95,Vanimo,PG,2020-11-02 18:50:35,-2.67,141.3,78.71,78,100,4.18
96,Yellowknife,CA,2020-11-02 18:47:00,62.46,-114.35,6.8,77,90,11.41
